id,name,category,priority,calories,protein,fat,carbohydrates,fiber,water,calcium,phosphorus,iron,sodium,potassium,copper,zinc,vit_a,carotene_b,carotene_total,vit_b1,vit_b2,niacin,vit_c
1,Nasi Putih,sumber_karbohidrat,10,129.0,2.4,0.2,28.2,0.2,69.0,5.0,38.0,0.2,1.0,37.0,0.03,0.3,0.0,0.0,0.0,0.02,0.0,0.3,0.0
2,Kentang Rebus,sumber_karbohidrat,5,87.0,2.0,0.1,20.1,2.2,77.0,12.0,57.0,0.8,6.0,429.0,0.15,0.4,2.0,0.0,0.0,0.08,0.03,1.1,19.7
3,Mie Instan (Kering),sumber_karbohidrat,2,475.0,9.5,21.1,66.2,2.5,4.0,53.0,147.0,4.6,980.0,150.0,0.2,0.6,0.0,0.0,0.0,0.25,0.1,2.5,0.0
4,Roti Tawar,sumber_karbohidrat,4,265.0,9.0,3.2,49.0,2.7,35.0,260.0,99.0,2.6,491.0,115.0,0.1,0.5,0.0,0.0,0.0,0.4,0.3,4.5,0.0
10,Telur Ayam Dadar,protein_hewani,10,197.0,13.8,14.8,1.2,0.0,69.2,65.0,230.0,3.3,165.0,163.0,0.05,1.4,260.0,0.0,0.0,0.1,0.3,0.1,0.0
11,Daging Ayam Goreng,protein_hewani,9,246.0,31.0,14.0,0.0,0.0,55.0,14.0,218.0,1.5,82.0,256.0,0.1,1.0,21.0,0.0,0.0,0.08,0.2,7.3,0.0
12,Ikan Lele Goreng,protein_hewani,7,229.0,16.0,18.0,0.0,0.0,62.0,20.0,170.0,1.0,50.0,270.0,0.1,0.8,50.0,0.0,0.0,0.2,0.04,1.8,0.0
20,Kering Tempe,protein_nabati,8,436.0,18.3,27.5,33.6,5.2,15.4,342.0,386.0,10.0,25.0,450.0,0.5,2.1,10.0,0.0,0.0,0.2,0.6,3.0,0.0
21,Tahu Goreng,protein_nabati,9,111.0,10.9,6.7,3.5,0.1,78.0,124.0,158.0,2.9,5.0,120.0,0.2,0.8,0.0,0.0,0.0,0.08,0.05,0.2,0.0
22,Kacang Hijau Rebus,protein_nabati,4,105.0,7.0,0.5,18.0,7.6,65.0,50.0,150.0,2.0,5.0,300.0,0.3,1.0,10.0,0.0,0.0,0.2,0.1,0.5,1.0
30,Bayam Rebus,sayuran,7,23.0,2.9,0.3,3.6,2.2,91.0,99.0,51.0,0.7,24.0,558.0,0.2,1.2,294.0,0.0,0.0,0.08,0.19,0.7,28.1
31,Wortel Rebus,sayuran,8,35.0,0.8,0.2,8.2,3.0,88.0,33.0,35.0,0.3,69.0,320.0,0.1,0.5,835.0,0.0,0.0,0.06,0.05,0.8,5.1
32,Sayur Sop (Rata-rata),sayuran,9,45.0,1.5,2.0,6.0,1.8,88.0,25.0,40.0,0.5,450.0,200.0,0.1,0.6,450.0,0.0,0.0,0.05,0.08,0.5,10.0
40,Pisang Ambon,buah,10,99.0,1.2,0.2,25.8,2.6,71.0,8.0,28.0,0.4,1.0,400.0,0.05,0.3,3.0,0.0,0.0,0.05,0.06,0.7,10.0
41,Apel Merah,buah,8,52.0,0.3,0.2,13.8,2.4,85.0,6.0,11.0,0.1,1.0,107.0,0.01,0.2,3.0,0.0,0.0,0.02,0.03,0.1,4.6
42,Jeruk Manis,buah,9,47.0,0.9,0.1,11.8,2.4,86.0,40.0,10.0,0.1,0.0,181.0,0.01,0.1,11.0,0.0,0.0,0.09,0.04,0.3,53.2
