unit,value,L,M,S
week,0,1,49.8842,0.03795
week,1,1,51.1152,0.03723
week,2,1,52.3461,0.03652
week,3,1,53.3905,0.03609
week,4,1,54.3881,0.03570
week,5,1,55.3374,0.03534
week,6,1,56.2357,0.03501
week,7,1,57.0851,0.03470
week,8,1,57.8889,0.03442
week,9,1,58.6536,0.03416
week,10,1,59.3872,0.03389
week,11,1,60.0894,0.03369
week,12,1,60.7605,0.03348
week,13,1,61.4013,0.03329
month,0,1,49.8842,0.03795
month,1,1,54.7244,0.03557
month,2,1,58.4249,0.03424
month,3,1,61.4292,0.03328
month,4,1,63.8860,0.03257
month,5,1,65.9026,0.03204
month,6,1,67.6236,0.03165
month,7,1,69.1645,0.03139
month,8,1,70.5994,0.03124
month,9,1,71.9687,0.03117
month,10,1,73.2812,0.03118
month,11,1,74.5388,0.03125
month,12,1,75.7488,0.03137
month,13,1,76.9186,0.03154
month,14,1,78.0497,0.03174
month,15,1,79.1458,0.03197
month,16,1,80.2113,0.03222
month,17,1,81.2487,0.03250
month,18,1,82.2587,0.03279
month,19,1,83.2418,0.03310
month,20,1,84.1996,0.03342
month,21,1,85.1348,0.03376
month,22,1,86.0477,0.03410
month,23,1,86.9410,0.03445
month,24,1,87.8161,0.03479
month,25,1,88.6720,0.03512
month,26,1,89.5105,0.03542
month,27,1,90.3323,0.03572
month,28,1,91.1390,0.03600
month,29,1,91.9328,0.03626
month,30,1,92.7118,0.03651
month,31,1,93.4763,0.03674
month,32,1,94.2272,0.03696
month,33,1,94.9653,0.03716
month,34,1,95.6912,0.03734
month,35,1,96.4058,0.03752
month,36,1,97.1098,0.03768
month,37,1,97.8033,0.03784
month,38,1,98.4873,0.03799
month,39,1,99.1618,0.03813
month,40,1,99.8273,0.03827
month,41,1,100.4845,0.03840
month,42,1,101.1338,0.03852
month,43,1,101.7758,0.03865
month,44,1,102.4108,0.03877
month,45,1,103.0392,0.03889
month,46,1,103.6613,0.03900
month,47,1,104.2773,0.03912
month,48,1,104.8875,0.03923
