unit,value,L,M,S
week,0,1,49.1477,0.03790
week,1,1,50.3298,0.03742
week,2,1,51.5120,0.03694
week,3,1,52.4695,0.03669
week,4,1,53.3809,0.03647
week,5,1,54.2454,0.03627
week,6,1,55.0642,0.03609
week,7,1,55.8406,0.03593
week,8,1,56.5767,0.03578
week,9,1,57.2761,0.03564
week,10,1,57.9436,0.03552
week,11,1,58.5816,0.03540
week,12,1,59.1922,0.03530
week,13,1,59.7773,0.03520
month,0,1,49.1477,0.03790
month,1,1,53.6872,0.03640
month,2,1,57.0673,0.03568
month,3,1,59.8029,0.03520
month,4,1,62.0899,0.03486
month,5,1,64.0301,0.03463
month,6,1,65.7311,0.03448
month,7,1,67.2873,0.03441
month,8,1,68.7498,0.03440
month,9,1,70.1435,0.03444
month,10,1,71.4818,0.03452
month,11,1,72.7710,0.03464
month,12,1,74.0150,0.03479
month,13,1,75.2176,0.03496
month,14,1,76.3817,0.03514
month,15,1,77.5099,0.03534
month,16,1,78.6055,0.03555
month,17,1,79.6710,0.03576
month,18,1,80.7079,0.03598
month,19,1,81.7182,0.03620
month,20,1,82.7036,0.03643
month,21,1,83.6654,0.03666
month,22,1,84.6040,0.03688
month,23,1,85.5202,0.03711
month,24,1,86.4153,0.03734
month,25,1,87.2894,0.03756
month,26,1,88.1442,0.03778
month,27,1,88.9808,0.03800
month,28,1,89.8004,0.03822
month,29,1,90.6031,0.03843
month,30,1,91.3897,0.03863
month,31,1,92.1630,0.03883
month,32,1,92.9230,0.03902
month,33,1,93.6709,0.03921
month,34,1,94.4064,0.03940
month,35,1,95.1293,0.03958
month,36,1,95.8415,0.03976
month,37,1,96.5429,0.03994
month,38,1,97.2337,0.04011
month,39,1,97.9145,0.04028
month,40,1,98.5843,0.04044
month,41,1,99.2448,0.04060
month,42,1,99.8948,0.04076
month,43,1,100.5345,0.04091
month,44,1,101.1648,0.04106
month,45,1,101.7858,0.04120
month,46,1,102.3970,0.04134
month,47,1,102.9980,0.04148
month,48,1,103.5890,0.04161
